black box type,black box train accuracy,black box test accuracy,anchor precision threshold
RandomForestClassifier,0.985253088880032,0.859145952836201,0.1
,,,
anchors precision,,,
,kmeans: ,0.78,
,decile: ,0.79,
,quartile: ,0.79,
,entropy: ,0.8,
,MDLP: ,0.79,
,,,
anchors coverage,,,Normalized coverage
,kmeans: ,0.25,0.93
,decile: ,0.26,0.96
,quartile: ,0.27,1.00
,entropy: ,0.24,0.89
,MDLP: ,0.26,0.96
,,,
anchors prec*coverage,,,Normalized F1
,kmeans: ,0.38,0.85
,decile: ,0.39,0.87
,quartile: ,0.4,0.88
,entropy: ,0.37,0.84
,MDLP: ,0.39,0.87
,,,
anchors size,,,
,kmeans: ,1,
,decile: ,1,
,quartile: ,1,
,entropy: ,1,
,MDLP: ,1,
,,,
time to compute anchors,,,
,kmeans: ,66.04,
,decile: ,64.59,
,quartile: ,41.72,
,entropy: ,62.64,
,MDLP: ,68.38,
,,,
dataset name,dataset size,dataset nb feature,Number of instances running
adult,15682,12,100
