black box type,black box train accuracy,black box test accuracy,anchor precision threshold
RandomForestClassifier,1,1,0.75
,,,
anchors precision,,,
,kmeans: ,1,
,decile: ,1,
,quartile: ,1,
,entropy: ,1,
,MDLP: ,1,
,,,
anchors coverage,,,Normalized coverage
,kmeans: ,0.43,0.86
,decile: ,0.32,0.64
,quartile: ,0.44,0.88
,entropy: ,0.5,1.00
,MDLP: ,0.5,1.00
,,,
anchors prec*coverage,,,Normalized F1
,kmeans: ,0.43,0.92
,decile: ,0.32,0.78
,quartile: ,0.44,0.94
,entropy: ,0.5,1.00
,MDLP: ,0.5,1.00
,,,
anchors size,,,
,kmeans: ,1,
,decile: ,1,
,quartile: ,1,
,entropy: ,1,
,MDLP: ,1,
,,,
time to compute anchors,,,
,kmeans: ,106.69,
,decile: ,120.14,
,quartile: ,61.16,
,entropy: ,39.3,
,MDLP: ,39.24,
,,,
dataset name,dataset size,dataset nb feature,Number of instances running
generate_blobs,15000,2,1000
