black box type,black box train accuracy,black box test accuracy
DecisionTreeClassifier,1.0,0.983

anchors precision
,decile: ,0.66
,quartile: ,0.55
,entropy: ,0.67
,MDLP: ,0.68
""
anchors coverage
,decile: ,0.47
,quartile: ,0.52
,entropy: ,0.64
,MDLP: ,0.57
""
anchors prec*coverage
,decile: ,0.31
,quartile: ,0.29
,entropy: ,0.43
,MDLP: ,0.39
""
anchors size
,decile: ,1.0
,quartile: ,1.0
,entropy: ,1.0
,MDLP: ,1.0
""
time to compute anchors
,decile: ,24.49
,quartile: ,8.8
,entropy: ,23.63
,MDLP: ,122.48
""
dataset name,dataset size,dataset nb feature,Number of instances running
generate_circles,10000,2,50
