black box type,black box train accuracy,black box test accuracy,anchor precision threshold
DecisionTreeClassifier,1,0.983,0.2
,,,
anchors precision,,,
,kmeans: ,0.55,
,decile: ,0.68,
,quartile: ,0.55,
,entropy: ,0.68,
,MDLP: ,0.7,
,,,
anchors coverage,,,Normalized coverage
,kmeans: ,0.49,0.79
,decile: ,0.44,0.71
,quartile: ,0.49,0.79
,entropy: ,0.62,1.00
,MDLP: ,0.51,0.82
,,,
anchors prec*coverage,,,Normalized F1
,kmeans: ,0.52,0.65
,decile: ,0.53,0.69
,quartile: ,0.52,0.65
,entropy: ,0.65,0.81
,MDLP: ,0.59,0.76
,,,
anchors size,,,
,kmeans: ,1,
,decile: ,1,
,quartile: ,1,
,entropy: ,1,
,MDLP: ,1,
,,,
time to compute anchors,,,
,kmeans: ,153.41,
,decile: ,253.65,
,quartile: ,85.04,
,entropy: ,236.92,
,MDLP: ,157.04,
,,,
dataset name,dataset size,dataset nb feature,Number of instances running
generate_circles,10000,2,1000
