black box type,black box train accuracy,black box test accuracy,anchor precision threshold
DecisionTreeClassifier,1,0.543262411347518,0.75
,,,
anchors precision,,,
,Replace with pertinent negatif: ,1,
,Replace all words: ,1,
,Use of mask word: ,1,
,,,
anchors coverage,,,Normalized coverage
,Replace with pertinent negatif: ,0.81,0.81
,Replace all words: ,0.25,0.25
,Use of mask word: ,1,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace with pertinent negatif: ,0.89,0.90
,Replace all words: ,0.4,0.40
,Use of mask word: ,1,1.00
,,,
anchors size,,,
,Replace with pertinent negatif: ,2,
,Replace all words: ,2,
,Use of mask word: ,2,
,,,
time to compute anchors,,,
,Replace with pertinent negatif: ,668.75,
,Replace all words: ,11.14,
,Use of mask word: ,360.29,
,,,
dataset name,dataset size,Number of instances running,
polarity,783,10,
