black box type,black box train accuracy,black box test accuracy,anchor precision threshold
LinearSVC,1.0,0.5602836879432624,0.75

anchors precision
,Replace with pertinent negatif: ,0.96
,Replace all words: ,0.99
,Use of mask word: ,0.99
""
anchors coverage
,Replace with pertinent negatif: ,0.54
,Replace all words: ,0.22
,Use of mask word: ,0.72
""
anchors prec*coverage
,Replace with pertinent negatif: ,0.69
,Replace all words: ,0.37
,Use of mask word: ,0.83
""
anchors size
,Replace with pertinent negatif: ,4.8
,Replace all words: ,2.9
,Use of mask word: ,2.1
""
time to compute anchors
,Replace with pertinent negatif: ,685.75
,Replace all words: ,14.17
,Use of mask word: ,430.29
""
dataset name,dataset size,Number of instances running
polarity,783,10
