black box type,black box train accuracy,black box test accuracy,anchor precision threshold
LinearSVC,1,0.560283687943262,0.95
,,,
anchors precision,,,
,Replace with pertinent negatif: ,0.89,
,Replace all words: ,0.98,
,Use of mask word: ,1,
,,,
anchors coverage,,,Normalized coverage
,Replace with pertinent negatif: ,0.72,0.85
,Replace all words: ,0.18,0.21
,Use of mask word: ,0.85,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace with pertinent negatif: ,0.79,0.87
,Replace all words: ,0.3,0.35
,Use of mask word: ,0.92,1.00
,,,
anchors size,,,
,Replace with pertinent negatif: ,4.9,
,Replace all words: ,8.3,
,Use of mask word: ,7.7,
,,,
time to compute anchors,,,
,Replace with pertinent negatif: ,730.33,
,Replace all words: ,54.29,
,Use of mask word: ,880.6,
,,,
dataset name,dataset size,Number of instances running,
polarity,783,10,
