black box type,black box train accuracy,black box test accuracy,anchor precision threshold
LogisticRegression,1,0.564539007092199,0.95
,,,
anchors precision,,,
,Replace with pertinent negatif: ,0.98,
,Replace all words: ,0.99,
,Use of mask word: ,0.97,
,,,
anchors coverage,,,Normalized coverage
,Replace with pertinent negatif: ,0.73,0.77
,Replace all words: ,0.2,0.21
,Use of mask word: ,0.95,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace with pertinent negatif: ,0.84,0.86
,Replace all words: ,0.34,0.35
,Use of mask word: ,0.96,0.98
,,,
anchors size,,,
,Replace with pertinent negatif: ,4.5,
,Replace all words: ,6.7,
,Use of mask word: ,3.6,
,,,
time to compute anchors,,,
,Replace with pertinent negatif: ,732.75,
,Replace all words: ,54.25,
,Use of mask word: ,776.85,
,,,
dataset name,dataset size,Number of instances running,
polarity,783,10,
