black box type,black box train accuracy,black box test accuracy,anchor precision threshold
MLPClassifier,1.0,0.5602836879432624,0.95

anchors precision
,Replace with pertinent negatif: ,0.96
,Replace all words: ,0.97
,Use of mask word: ,1.0
""
anchors coverage
,Replace with pertinent negatif: ,0.54
,Replace all words: ,0.19
,Use of mask word: ,0.54
""
anchors prec*coverage
,Replace with pertinent negatif: ,0.69
,Replace all words: ,0.31
,Use of mask word: ,0.7
""
anchors size
,Replace with pertinent negatif: ,2.3
,Replace all words: ,6.9
,Use of mask word: ,6.6
""
time to compute anchors
,Replace with pertinent negatif: ,690.17
,Replace all words: ,55.05
,Use of mask word: ,511.77
""
dataset name,dataset size,Number of instances running
polarity,783,10
