black box type,black box train accuracy,black box test accuracy,anchor precision threshold
MultinomialNB,1.0,0.5815602836879432,0.75

anchors precision
,Replace with pertinent negatif: ,1.0
,Replace all words: ,0.98
,Use of mask word: ,1.0
""
anchors coverage
,Replace with pertinent negatif: ,0.53
,Replace all words: ,0.23
,Use of mask word: ,0.73
""
anchors prec*coverage
,Replace with pertinent negatif: ,0.69
,Replace all words: ,0.37
,Use of mask word: ,0.84
""
anchors size
,Replace with pertinent negatif: ,3.4
,Replace all words: ,2.7
,Use of mask word: ,2.0
""
time to compute anchors
,Replace with pertinent negatif: ,689.29
,Replace all words: ,15.2
,Use of mask word: ,395.27
""
dataset name,dataset size,Number of instances running
polarity,783,10
