black box type,black box train accuracy,black box test accuracy,anchor precision threshold
MultinomialNB,1,0.581560283687943,0.95
,,,
anchors precision,,,
,Replace with pertinent negatif: ,0.92,
,Replace all words: ,1,
,Use of mask word: ,1,
,,,
anchors coverage,,,Normalized coverage
,Replace with pertinent negatif: ,0.43,0.47
,Replace all words: ,0.25,0.27
,Use of mask word: ,0.91,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace with pertinent negatif: ,0.58,0.62
,Replace all words: ,0.4,0.43
,Use of mask word: ,0.95,1.00
,,,
anchors size,,,
,Replace with pertinent negatif: ,2.1,
,Replace all words: ,2,
,Use of mask word: ,2,
,,,
time to compute anchors,,,
,Replace with pertinent negatif: ,678.06,
,Replace all words: ,12,
,Use of mask word: ,367.24,
,,,
dataset name,dataset size,Number of instances running,
polarity,783,10,
