black box type,black box train accuracy,black box test accuracy,anchor precision threshold
RandomForestClassifier,0.8714285714285714,0.5319148936170213,0.75

anchors precision
,Replace with pertinent negatif: ,1.0
,Replace all words: ,1.0
,Use of mask word: ,1.0
""
anchors coverage
,Replace with pertinent negatif: ,0.63
,Replace all words: ,0.25
,Use of mask word: ,0.81
""
anchors prec*coverage
,Replace with pertinent negatif: ,0.77
,Replace all words: ,0.4
,Use of mask word: ,0.9
""
anchors size
,Replace with pertinent negatif: ,2.0
,Replace all words: ,2.0
,Use of mask word: ,2.0
""
time to compute anchors
,Replace with pertinent negatif: ,742.9
,Replace all words: ,91.63
,Use of mask word: ,596.67
""
dataset name,dataset size,Number of instances running
polarity,783,10
