black box type,black box train accuracy,black box test accuracy,anchor precision threshold
RandomForestClassifier,0.885714285714286,0.493617021276596,0.95
,,,
anchors precision,,,
,Replace with pertinent negatif: ,1,
,Replace all words: ,1,
,Use of mask word: ,1,
,,,
anchors coverage,,,Normalized coverage
,Replace with pertinent negatif: ,0.53,0.65
,Replace all words: ,0.25,0.31
,Use of mask word: ,0.81,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace with pertinent negatif: ,0.7,0.79
,Replace all words: ,0.4,0.47
,Use of mask word: ,0.9,1.00
,,,
anchors size,,,
,Replace with pertinent negatif: ,2,
,Replace all words: ,2,
,Use of mask word: ,2,
,,,
time to compute anchors,,,
,Replace with pertinent negatif: ,763,
,Replace all words: ,99.01,
,Use of mask word: ,605.16,
,,,
dataset name,dataset size,Number of instances running,
polarity,783,10,
