black box type,black box train accuracy,black box test accuracy,anchor precision threshold
DecisionTreeClassifier,0.971514242878561,0.857142857142857,0.1
,,,
anchors precision,,,
,kmeans: ,0.78,
,decile: ,0.77,
,quartile: ,0.75,
,entropy: ,0.76,
,MDLP: ,0.71,
,,,
anchors coverage,,,Normalized coverage
,kmeans: ,0.39,0.78
,decile: ,0.39,0.78
,quartile: ,0.43,0.86
,entropy: ,0.39,0.78
,MDLP: ,0.5,1.00
,,,
anchors prec*coverage,,,Normalized F1
,kmeans: ,0.52,0.78
,decile: ,0.52,0.77
,quartile: ,0.55,0.80
,entropy: ,0.52,0.77
,MDLP: ,0.58,0.83
,,,
anchors size,,,
,kmeans: ,1,
,decile: ,1,
,quartile: ,1,
,entropy: ,1,
,MDLP: ,1,
,,,
time to compute anchors,,,
,kmeans: ,9.6,
,decile: ,10.51,
,quartile: ,6.11,
,entropy: ,8.42,
,MDLP: ,5.5,
,,,
dataset name,dataset size,dataset nb feature,Number of instances running
titanic,834,6,50
