black box type,black box train accuracy,black box test accuracy,anchor precision threshold
LinearSVC,0.95236379545513,0.282558120915294,0.95
,,,
anchors precision,,,
,Replace all words: ,0.63,
,Use of mask word: ,0.99,
,Replace with pertinent negatif: ,0.7,
,,,
anchors coverage,,,Normalized coverage
,Replace all words: ,0.51,0.62
,Use of mask word: ,0.21,0.26
,Replace with pertinent negatif: ,0.82,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace all words: ,0.57,0.63
,Use of mask word: ,0.34,0.41
,Replace with pertinent negatif: ,0.76,0.82
,,,
anchors size,,,
,Replace all words: ,5.1,
,Use of mask word: ,4.3,
,Replace with pertinent negatif: ,8.1,
,,,
time to compute anchors,,,
,Replace all words: ,336.38,
,Use of mask word: ,12.02,
,Replace with pertinent negatif: ,121.19,
,,,
dataset name,dataset size,Number of instances running,
tweet,476006,10,
