black box type,black box train accuracy,black box test accuracy,anchor precision threshold
LogisticRegression,0.775947705690094,0.324003943735431,0.2
,,,
anchors precision,,,
,Replace all words: ,0.75,
,Use of mask word: ,0.62,
,Replace with pertinent negatif: ,0.74,
,,,
anchors coverage,,,Normalized coverage
,Replace all words: ,0.42,0.52
,Use of mask word: ,0.22,0.27
,Replace with pertinent negatif: ,0.81,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace all words: ,0.54,0.61
,Use of mask word: ,0.32,0.38
,Replace with pertinent negatif: ,0.78,0.85
,,,
anchors size,,,
,Replace all words: ,2.5,
,Use of mask word: ,2.3,
,Replace with pertinent negatif: ,4.1,
,,,
time to compute anchors,,,
,Replace all words: ,304.22,
,Use of mask word: ,8.32,
,Replace with pertinent negatif: ,156.57,
,,,
dataset name,dataset size,Number of instances running,
tweet,476006,10,
