black box type,black box train accuracy,black box test accuracy,anchor precision threshold
MultinomialNB,0.79524924723988,0.301027796014631,0.95
,,,
anchors precision,,,
,Replace all words: ,0.66,
,Use of mask word: ,0.89,
,Replace with pertinent negatif: ,0.79,
,,,
anchors coverage,,,Normalized coverage
,Replace all words: ,0.47,0.58
,Use of mask word: ,0.15,0.19
,Replace with pertinent negatif: ,0.81,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace all words: ,0.55,0.62
,Use of mask word: ,0.26,0.31
,Replace with pertinent negatif: ,0.8,0.88
,,,
anchors size,,,
,Replace all words: ,2.9,
,Use of mask word: ,5.5,
,Replace with pertinent negatif: ,10.2,
,,,
time to compute anchors,,,
,Replace all words: ,334.61,
,Use of mask word: ,11.01,
,Replace with pertinent negatif: ,573.46,
,,,
dataset name,dataset size,Number of instances running,
tweet,476006,10,
