black box type,black box train accuracy,black box test accuracy,anchor precision threshold
RandomForestClassifier,0.698587127158556,0.215079984170157,0.95
,,,
anchors precision,,,
,Replace all words: ,0.69,
,Use of mask word: ,0.85,
,Replace with pertinent negatif: ,0.9,
,,,
anchors coverage,,,Normalized coverage
,Replace all words: ,0.39,0.49
,Use of mask word: ,0.13,0.16
,Replace with pertinent negatif: ,0.8,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace all words: ,0.5,0.57
,Use of mask word: ,0.22,0.27
,Replace with pertinent negatif: ,0.85,0.95
,,,
anchors size,,,
,Replace all words: ,3.7,
,Use of mask word: ,5.4,
,Replace with pertinent negatif: ,4.2,
,,,
time to compute anchors,,,
,Replace all words: ,537.24,
,Use of mask word: ,423.32,
,Replace with pertinent negatif: ,184.78,
,,,
dataset name,dataset size,Number of instances running,
tweet,476006,10,
